Date : 2026-02-03 00:33:55
Directory : e:\qt_project\SyncCanvas
Total : 116 files,  35713 codes, 3262 comments, 3644 blanks, all 42619 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\qt_project\SyncCanvas\CanvasServer2\src\message.grpc.pb.cc                   | C++      |        224 |          3 |         47 |        274 |
| e:\qt_project\SyncCanvas\CanvasServer2\src\message.pb.cc                        | C++      |      3,522 |        317 |        302 |      4,141 |
| e:\qt_project\SyncCanvas\CanvasServer\CMakeLists.txt                            | CMake    |        119 |          0 |         21 |        140 |
| e:\qt_project\SyncCanvas\CanvasServer\CMakePresets.json                         | JSON     |        103 |          0 |          1 |        104 |
| e:\qt_project\SyncCanvas\CanvasServer\config.ini                                | Ini      |         30 |          0 |          0 |         30 |
| e:\qt_project\SyncCanvas\CanvasServer\gen_message.bat                           | Batch    |         29 |          9 |          9 |         47 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\AsioIOServicePool.h  | C++      |         25 |          4 |         11 |         40 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CServer.h            | C++      |         19 |          0 |          3 |         22 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CSession.h           | C++      |         48 |          6 |         11 |         65 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CanvasServer.h       | C++      |          2 |          3 |          4 |          9 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\ConfigMgr.h          | C++      |         66 |          0 |         10 |         76 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\LogicSystem.h        | C++      |         31 |          7 |         10 |         48 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\MsgNode.h            | C++      |         51 |          6 |          6 |         63 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\RedisMgr.h           | C++      |         30 |          6 |         12 |         48 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Room.h               | C++      |         27 |          4 |          9 |         40 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\RoomMgr.h            | C++      |         20 |          5 |          6 |         31 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\SessionMgr.h         | C++      |         20 |          3 |          5 |         28 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Singleton.h          | C++      |         29 |          9 |          5 |         43 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\const.h              | C++      |         46 |         18 |          8 |         72 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\message.grpc.pb.h    | C++      |        870 |         52 |         13 |        935 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\message.pb.h         | C++      |      3,825 |        324 |        362 |      4,511 |
| e:\qt_project\SyncCanvas\CanvasServer\src\AsioIOServicePool.cpp                 | C++      |         42 |          8 |          7 |         57 |
| e:\qt_project\SyncCanvas\CanvasServer\src\CServer.cpp                           | C++      |         38 |          4 |          4 |         46 |
| e:\qt_project\SyncCanvas\CanvasServer\src\CSession.cpp                          | C++      |        174 |         39 |         33 |        246 |
| e:\qt_project\SyncCanvas\CanvasServer\src\CanvasServer.cpp                      | C++      |         59 |         18 |         17 |         94 |
| e:\qt_project\SyncCanvas\CanvasServer\src\ConfigMgr.cpp                         | C++      |         40 |          3 |          4 |         47 |
| e:\qt_project\SyncCanvas\CanvasServer\src\LogicSystem.cpp                       | C++      |        293 |         39 |         55 |        387 |
| e:\qt_project\SyncCanvas\CanvasServer\src\RedisMgr.cpp                          | C++      |        244 |         22 |         27 |        293 |
| e:\qt_project\SyncCanvas\CanvasServer\src\Room.cpp                              | C++      |         65 |         20 |         16 |        101 |
| e:\qt_project\SyncCanvas\CanvasServer\src\RoomMgr.cpp                           | C++      |         44 |          2 |         11 |         57 |
| e:\qt_project\SyncCanvas\CanvasServer\src\SessionMgr.cpp                        | C++      |         36 |          4 |         11 |         51 |
| e:\qt_project\SyncCanvas\CanvasServer\src\message.grpc.pb.cc                    | C++      |        224 |          3 |         47 |        274 |
| e:\qt_project\SyncCanvas\CanvasServer\src\message.pb.cc                         | C++      |      3,522 |        317 |        302 |      4,141 |
| e:\qt_project\SyncCanvas\DBClient\CMakeLists.txt                                | CMake    |         19 |          0 |          6 |         25 |
| e:\qt_project\SyncCanvas\DBClient\canvas.cpp                                    | C++      |         99 |         41 |         36 |        176 |
| e:\qt_project\SyncCanvas\DBClient\canvas.h                                      | C++      |         30 |          0 |         10 |         40 |
| e:\qt_project\SyncCanvas\DBClient\global.cpp                                    | C++      |          0 |          0 |          1 |          1 |
